task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	12/defe49	2551819	FASTQ_SCREEN (B11_FASTQ_SCREEN)	CACHED	0	2025-11-04 10:36:30.084	13m 26s	13m 26s	180.6%	2.3 GB	3 GB	139.8 GB	81.6 GB
43	10/928e12	2183279	FASTQC_RAW (R15_RAW_FASTQC)	CACHED	0	2025-11-04 10:07:23.939	17m 14s	17m 14s	100.5%	732.9 MB	4.3 GB	15.7 GB	3.2 MB
33	03/13a090	2557499	FASTQ_SCREEN (S36_FASTQ_SCREEN)	CACHED	0	2025-11-04 10:36:52.417	13m 11s	13m 11s	181.8%	1.1 GB	2.3 GB	134.3 GB	77.4 GB
3	60/bd10a5	2667076	FASTP_CLEAN (B11_FASTP_CLEAN)	CACHED	0	2025-11-04 10:49:56.373	6m 36s	6m 35s	785.9%	1.4 GB	2.7 GB	14.2 GB	13.5 GB
18	2d/24505f	2678295	FASTP_CLEAN (L12_FASTP_CLEAN)	CACHED	0	2025-11-04 10:52:09.222	6m 25s	6m 25s	769.8%	1.4 GB	2.7 GB	13.2 GB	12.6 GB
20	21/7b6feb	2694436	FASTP_CLEAN (S19_FASTP_CLEAN)	CACHED	0	2025-11-04 10:55:54.629	7m 43s	7m 43s	684.5%	1.4 GB	2.7 GB	14.1 GB	13.4 GB
12	60/3874e4	2191753	FASTQ_SCREEN (B6_FASTQ_SCREEN)	CACHED	0	2025-11-04 10:07:33.560	15m 23s	15m 23s	172.0%	3 GB	4.4 GB	144.1 GB	84.7 GB
30	4c/21c757	2433093	FASTQ_SCREEN (S32_FASTQ_SCREEN)	CACHED	0	2025-11-04 10:26:12.341	10m 18s	10m 18s	187.0%	3.3 GB	5.2 GB	124.8 GB	70.5 GB
9	be/acdc3d	2191756	FASTQ_SCREEN (B20_FASTQ_SCREEN)	CACHED	0	2025-11-04 10:07:33.568	17m 52s	17m 52s	146.7%	3.2 GB	4.8 GB	158.8 GB	95.8 GB
40	67/d82938	2183252	FASTQC_RAW (S19_RAW_FASTQC)	CACHED	0	2025-11-04 10:07:23.927	15m 51s	15m 51s	97.6%	744.5 MB	4.3 GB	14.1 GB	3.8 MB
29	0e/b9df98	2191770	FASTQ_SCREEN (S19_FASTQ_SCREEN)	CACHED	0	2025-11-04 10:07:33.583	16m 29s	16m 28s	156.2%	3.2 GB	4.8 GB	139.8 GB	81.8 GB
32	fc/ec6936	2191763	FASTQ_SCREEN (R15_FASTQ_SCREEN)	CACHED	0	2025-11-04 10:07:33.576	16m 48s	16m 48s	164.4%	3.3 GB	5.2 GB	152.2 GB	91.1 GB
41	85/250c8e	2183204	FASTQC_RAW (S32_RAW_FASTQC)	CACHED	0	2025-11-04 10:07:23.892	15m 47s	15m 47s	89.5%	735.9 MB	4.3 GB	12.2 GB	3.3 MB
39	ea/1ae38f	2183225	FASTQC_RAW (L18_RAW_FASTQC)	CACHED	0	2025-11-04 10:07:23.913	18m 12s	18m 12s	93.0%	732.8 MB	4.3 GB	14.5 GB	3.3 MB
28	dd/0617b3	2423799	FASTQ_SCREEN (L18_FASTQ_SCREEN)	CACHED	0	2025-11-04 10:25:25.365	12m 17s	12m 17s	180.2%	2.8 GB	4.4 GB	142.3 GB	83.6 GB
46	83/935215	2183214	FASTQC_RAW (R36_RAW_FASTQC)	CACHED	0	2025-11-04 10:07:23.904	19m 11s	19m 11s	92.0%	739.3 MB	4.2 GB	15.5 GB	3.2 MB
13	12/27a4ff	2567445	FASTP_CLEAN (B6_FASTP_CLEAN)	CACHED	0	2025-11-04 10:37:42.101	5m 51s	5m 51s	804.4%	1.4 GB	2.6 GB	14.8 GB	14.1 GB
35	7c/ce94f0	2511461	FASTQ_SCREEN (R36_FASTQ_SCREEN)	CACHED	0	2025-11-04 10:32:27.804	12m 57s	12m 57s	184.9%	3.1 GB	4.9 GB	149.8 GB	89.2 GB
37	26/6bd629	2183221	FASTQC_RAW (C32_RAW_FASTQC)	CACHED	0	2025-11-04 10:07:23.908	19m 43s	19m 43s	93.5%	736.9 MB	4.3 GB	15.5 GB	3.2 MB
16	4d/1dd0b7	2183326	FASTQC_RAW (B6_RAW_FASTQC)	CACHED	0	2025-11-04 10:07:23.957	16m 34s	16m 34s	100.3%	843.6 MB	4.4 GB	14.8 GB	3.3 MB
15	ca/ee20e6	2644673	FASTP_CLEAN (C32_FASTP_CLEAN)	CACHED	0	2025-11-04 10:45:25.210	6m 44s	6m 44s	799.9%	1.4 GB	2.7 GB	15.5 GB	14.7 GB
8	4a/403b62	2183208	FASTQC_RAW (B14_RAW_FASTQC)	CACHED	0	2025-11-04 10:07:23.898	15m 27s	15m 27s	90.5%	829.2 MB	4.3 GB	12.5 GB	3.2 MB
27	6e/600d39	2705563	FASTP_CLEAN (X18_FASTP_CLEAN)	CACHED	0	2025-11-04 10:58:04.408	8m 19s	8m 19s	686.1%	1.4 GB	2.7 GB	14.8 GB	14 GB
7	b1/e4ae93	2699912	FASTP_CLEAN (B14_FASTP_CLEAN)	CACHED	0	2025-11-04 10:56:58.494	6m 59s	6m 59s	688.6%	1.4 GB	2.7 GB	12.6 GB	11.9 GB
17	af/c15e84	2523387	FASTQ_SCREEN (L12_FASTQ_SCREEN)	CACHED	0	2025-11-04 10:33:23.812	10m 18s	10m 17s	195.5%	3.1 GB	4.8 GB	132.2 GB	76.1 GB
19	ce/37eff6	2669855	FASTP_CLEAN (L18_FASTP_CLEAN)	CACHED	0	2025-11-04 10:50:14.517	6m 44s	6m 44s	786.9%	1.4 GB	2.7 GB	14.5 GB	13.8 GB
6	80/07bcf9	2183312	FASTQC_RAW (B11_RAW_FASTQC)	CACHED	0	2025-11-04 10:07:23.952	17m 53s	17m 53s	91.1%	735.2 MB	4.3 GB	14.2 GB	3.2 MB
63	1d/7801af	3002265	BWA_MEM (S32_BWA_MEM)	CACHED	0	2025-11-04 13:02:50.224	49m 41s	49m 41s	2009.4%	20 GB	36.5 GB	67.4 GB	56.7 GB
52	cd/c0676b	2746914	BWA_MEM (C32_BWA_MEM)	CACHED	0	2025-11-04 11:06:23.252	58m 32s	58m 31s	2017.4%	19.9 GB	35 GB	83.4 GB	73.6 GB
48	8e/7c0965	2753161	MULTIQC (Raw_data_MULTIQC)	CACHED	0	2025-11-04 11:07:15.506	17.6s	17.2s	117.3%	167.9 MB	21.7 GB	168.7 MB	67.1 MB
59	a5/b461c0	2734619	BWA_MEM (S36_BWA_MEM)	CACHED	0	2025-11-04 11:03:57.200	1h 7m 38s	1h 7m 38s	2015.1%	21.4 GB	35 GB	75.1 GB	65.5 GB
57	e2/45854a	2932147	BWA_MEM (L12_BWA_MEM)	CACHED	0	2025-11-04 12:23:36.477	57m 19s	57m 19s	1999.2%	20.8 GB	34.5 GB	74.2 GB	64.5 GB
53	80/7f789f	3084595	BWA_MEM (B20_BWA_MEM)	CACHED	0	2025-11-04 13:34:27.113	1h 6m 15s	1h 6m 15s	2033.8%	21.2 GB	34.3 GB	90.9 GB	82.3 GB
49	2e/2b45c2	2863641	BWA_MEM (L18_BWA_MEM)	CACHED	0	2025-11-04 12:00:29.557	1h 2m 21s	1h 2m 21s	1996.0%	20.3 GB	35.1 GB	79.2 GB	69.4 GB
56	e0/9847ae	2860085	BWA_MEM (B11_BWA_MEM)	CACHED	0	2025-11-04 11:59:20.070	1h 6m 54s	1h 6m 54s	1999.2%	21.1 GB	35.4 GB	78 GB	68.4 GB
50	7a/ae3db2	2708092	BWA_MEM (B6_BWA_MEM)	CACHED	0	2025-11-04 10:58:33.954	1h 1m 56s	1h 1m 55s	2003.3%	20.4 GB	35.4 GB	79.7 GB	69.9 GB
51	07/66b988	3041050	BWA_MEM (B14_BWA_MEM)	CACHED	0	2025-11-04 13:17:06.525	58m 28s	58m 28s	2021.5%	21.3 GB	34.2 GB	71.1 GB	61.4 GB
55	2a/fc401e	3010930	BWA_MEM (S19_BWA_MEM)	CACHED	0	2025-11-04 13:06:14.280	1h 16m 16s	1h 16m 16s	2005.1%	22.1 GB	34.8 GB	79.3 GB	70.3 GB
54	ac/cc99f6	3050765	BWA_MEM (X18_BWA_MEM)	CACHED	0	2025-11-04 13:20:55.938	1h 2m 53s	1h 2m 53s	2010.6%	20.9 GB	33.4 GB	82.1 GB	72.8 GB
62	60/f8020d	2878011	BWA_MEM (R15_BWA_MEM)	CACHED	0	2025-11-04 12:04:54.790	1h 12m 12s	1h 12m 12s	2017.0%	21.3 GB	33.7 GB	87.2 GB	78.4 GB
61	cf/052bd2	2726782	BWA_MEM (R1_BWA_MEM)	CACHED	0	2025-11-04 11:02:29.368	56m 51s	56m 50s	1998.1%	21 GB	35.2 GB	69.6 GB	59.5 GB
58	c4/7db6e3	2747300	BWA_MEM (R36_BWA_MEM)	CACHED	0	2025-11-04 11:06:25.457	1h 17m 11s	1h 17m 11s	1991.0%	21.1 GB	34.4 GB	85 GB	76 GB
66	89/aec63e	3140093	SAMTOOLS_SORT_INDEX (C32_SORT_INDEX_BAM)	CACHED	0	2025-11-04 13:59:18.295	8m 2s	8m 2s	678.7%	8.5 GB	10.2 GB	47.2 GB	29 GB
64	85/d5e71c	3212179	SAMTOOLS_SORT_INDEX (S32_SORT_INDEX_BAM)	CACHED	0	2025-11-04 14:22:14.765	11m 31s	11m 31s	345.6%	8.4 GB	10.2 GB	38.5 GB	24.3 GB
67	02/e6fd89	3141019	SAMTOOLS_SORT_INDEX (S36_SORT_INDEX_BAM)	CACHED	0	2025-11-04 13:59:28.613	7m 7s	7m 7s	671.3%	8.4 GB	10.2 GB	41.7 GB	25.1 GB
65	01/393561	3185546	SAMTOOLS_SORT_INDEX (L12_SORT_INDEX_BAM)	CACHED	0	2025-11-04 14:15:34.264	6m 44s	6m 44s	681.6%	8.4 GB	10.2 GB	40.5 GB	24.4 GB
69	b5/fb80dc	3121232	SAMTOOLS_SORT_INDEX (B6_SORT_INDEX_BAM)	CACHED	0	2025-11-04 13:52:31.681	6m 57s	6m 57s	752.7%	8.5 GB	10.2 GB	46.7 GB	29.1 GB
68	78/0755e9	3353060	SAMTOOLS_SORT_INDEX (B20_SORT_INDEX_BAM)	CACHED	0	2025-11-04 14:49:25.431	17m 8s	17m 8s	291.7%	8.4 GB	10.2 GB	52.7 GB	32.2 GB
70	e4/a2dfab	3162714	SAMTOOLS_SORT_INDEX (L18_SORT_INDEX_BAM)	CACHED	0	2025-11-04 14:07:20.153	7m 18s	7m 18s	712.0%	8.4 GB	10.2 GB	45.5 GB	28.2 GB
60	4a/bf6c3c	2902369	BWA_MEM (S40_BWA_MEM)	CACHED	0	2025-11-04 12:11:35.626	1h 22m 51s	1h 22m 51s	2008.5%	22 GB	35.1 GB	87.7 GB	79.2 GB
72	07/8ecb3d	3160209	SAMTOOLS_SORT_INDEX (R36_SORT_INDEX_BAM)	CACHED	0	2025-11-04 14:06:35.774	8m 12s	8m 12s	664.2%	8.4 GB	10.1 GB	47.9 GB	28.9 GB
74	bd/2abe14	3220037	SAMTOOLS_SORT_INDEX (S19_SORT_INDEX_BAM)	CACHED	0	2025-11-04 14:23:36.560	16m 19s	16m 18s	285.2%	8.4 GB	10.2 GB	45.5 GB	27.9 GB
78	9c/e25744	3221371	SAMBAMBA_MARKDUPLICATES (S36_MARKDUPLICATES)	CACHED	0	2025-11-04 14:23:48.824	14m 29s	14m 29s	562.7%	2.3 GB	7.8 GB	38.2 GB	14.1 GB
76	f9/423bf6	3269090	SAMBAMBA_MARKDUPLICATES (C32_MARKDUPLICATES)	CACHED	0	2025-11-04 14:33:45.700	12m 46s	12m 46s	685.7%	2.2 GB	7.3 GB	42.2 GB	15.3 GB
86	99/1ee8c3	3348138	SAMBAMBA_MARKDUPLICATES (S32_MARKDUPLICATES)	CACHED	0	2025-11-04 14:48:45.914	12m 53s	12m 51s	586.1%	2.1 GB	7.5 GB	35.3 GB	12.7 GB
79	88/abb315	3276303	SAMBAMBA_MARKDUPLICATES (L18_MARKDUPLICATES)	CACHED	0	2025-11-04 14:36:36.940	11m 11s	11m 11s	737.4%	2.1 GB	7.4 GB	39.9 GB	14.5 GB
85	41/69f0c7	3332528	SAMBAMBA_MARKDUPLICATES (L12_MARKDUPLICATES)	CACHED	0	2025-11-04 14:46:31.982	12m 29s	12m 28s	565.6%	2.1 GB	7.3 GB	36 GB	13.2 GB
84	f7/8b75e1	3283328	SAMBAMBA_MARKDUPLICATES (R36_MARKDUPLICATES)	CACHED	0	2025-11-04 14:38:17.841	10m 28s	10m 28s	779.8%	2.4 GB	7.5 GB	42.1 GB	15.6 GB
75	4b/8eda94	3182055	SAMTOOLS_SORT_INDEX (B11_SORT_INDEX_BAM)	CACHED	0	2025-11-04 14:14:38.285	7m 36s	7m 36s	671.8%	8.4 GB	10.2 GB	45.6 GB	28.5 GB
71	54/e7c0e8	3121227	SAMTOOLS_SORT_INDEX (R1_SORT_INDEX_BAM)	CACHED	0	2025-11-04 13:52:31.673	6m 47s	6m 46s	661.7%	8.4 GB	10.2 GB	38.9 GB	23.9 GB
80	26/edbd8d	3214075	SAMBAMBA_MARKDUPLICATES (B6_MARKDUPLICATES)	CACHED	0	2025-11-04 14:22:30.338	20m 53s	20m 51s	447.2%	2.4 GB	7.4 GB	41.8 GB	15.2 GB
91	88/73866c	3330761	SAMTOOLS_FLAGSTAT (S36_FLAGSTAT)	CACHED	0	2025-11-04 14:46:18.677	1m 47s	1m 46s	127.2%	10.8 MB	811.7 MB	12.2 GB	791 B
106	28/f65694	3459735	BAM_COVERAGE (L18_bam_coverage)	CACHED	0	2025-11-04 15:03:26.599	1m 54s	1m 54s	155.0%	7 GB	7.8 GB	10 GB	35.4 MB
103	be/9d700d	3446504	BAM_COVERAGE (C32_bam_coverage)	CACHED	0	2025-11-04 15:02:12.218	1m 14s	1m 14s	220.6%	5.6 GB	6.4 GB	10.3 GB	35.5 MB
83	f1/6508d6	3183016	SAMTOOLS_SORT_INDEX (R15_SORT_INDEX_BAM)	CACHED	0	2025-11-04 14:14:47.665	7m 28s	7m 28s	703.6%	8.4 GB	10.2 GB	48 GB	28.6 GB
73	b6/b31d2d	3272606	SAMTOOLS_SORT_INDEX (X18_SORT_INDEX_BAM)	CACHED	0	2025-11-04 14:35:15.237	11m 52s	11m 52s	373.8%	8.4 GB	10.2 GB	45.8 GB	27.8 GB
110	9e/b3822f	3545352	BAM_COVERAGE (L12_bam_coverage)	CACHED	0	2025-11-04 15:13:29.052	1m 7s	1m 7s	231.6%	5.6 GB	6.4 GB	10.7 GB	35.5 MB
87	ef/e1f329	3409075	SAMBAMBA_MARKDUPLICATES (S19_MARKDUPLICATES)	CACHED	0	2025-11-04 14:58:09.457	12m 31s	12m 31s	584.7%	2.4 GB	7.6 GB	39 GB	14.5 GB
105	b1/5266f4	3426529	SAMTOOLS_FLAGSTAT (C32_FLAGSTAT)	CACHED	0	2025-11-04 15:00:11.002	3m 7s	3m 7s	97.4%	11 MB	811.7 MB	13.6 GB	799 B
113	2d/e3d497	3214069	SAMBAMBA_MARKDUPLICATES (R1_MARKDUPLICATES)	CACHED	0	2025-11-04 14:22:30.331	14m 7s	14m 5s	536.4%	2 GB	7.2 GB	34.4 GB	12.6 GB
111	2e/48601e	3294563	SAMBAMBA_MARKDUPLICATES (B11_MARKDUPLICATES)	CACHED	0	2025-11-04 14:40:42.568	11m 58s	11m 55s	613.1%	2.3 GB	7.5 GB	40 GB	14.7 GB
102	84/95c893	3438854	SAMTOOLS_STATS (C32_samtools_stats)	CACHED	0	2025-11-04 15:01:38.542	6m 1s	6m 1s	161.7%	12.1 MB	814.1 MB	13.6 GB	157.8 KB
82	88/105b49	3185551	SAMTOOLS_SORT_INDEX (S40_SORT_INDEX_BAM)	CACHED	0	2025-11-04 14:15:34.272	8m 2s	8m 2s	658.4%	8.4 GB	10.2 GB	50 GB	29.9 GB
77	11/2d802a	3212358	SAMTOOLS_SORT_INDEX (B14_SORT_INDEX_BAM)	CACHED	0	2025-11-04 14:22:15.942	12m 59s	12m 59s	317.6%	8.3 GB	10 GB	39.9 GB	24.5 GB
90	6f/6076cf	3343551	BAM_COVERAGE (S36_bam_coverage)	CACHED	0	2025-11-04 14:48:05.715	1m 20s	1m 19s	201.4%	5.6 GB	6.4 GB	10.3 GB	35.7 MB
88	6f/258bdd	3336401	SAMTOOLS_STATS (S36_samtools_stats)	CACHED	0	2025-11-04 14:47:07.737	4m 51s	4m 51s	165.2%	12.2 MB	874.5 MB	12.2 GB	158.8 KB
109	71/d26e6c	3546603	SAMTOOLS_STATS (L12_samtools_stats)	CACHED	0	2025-11-04 15:13:35.499	4m 28s	4m 28s	164.9%	13.1 MB	814.1 MB	11.5 GB	157.6 KB
107	bb/f35d91	3478403	SAMTOOLS_STATS (L18_samtools_stats)	CACHED	0	2025-11-04 15:05:20.839	5m 25s	5m 25s	161.4%	13.3 MB	876.2 MB	12.8 GB	157.4 KB
117	22/39a57e	3544069	SAMTOOLS_FLAGSTAT (L12_FLAGSTAT)	CACHED	0	2025-11-04 15:13:22.394	41.5s	41.3s	346.7%	11 MB	811.7 MB	11.5 GB	791 B
123	4f/22a9c4	3398501	SAMTOOLS_STATS (B6_samtools_stats)	CACHED	0	2025-11-04 14:56:16.118	5m 56s	5m 54s	158.2%	12.2 MB	814.1 MB	13.5 GB	158.3 KB
126	b4/3eac32	3292525	SAMTOOLS_STATS (R1_samtools_stats)	CACHED	0	2025-11-04 14:40:20.498	4m 44s	4m 44s	157.8%	12 MB	814.1 MB	11 GB	156.5 KB
124	f2/6d02ac	3501363	SAMTOOLS_STATS (R36_samtools_stats)	CACHED	0	2025-11-04 15:07:32.142	5m 57s	5m 57s	158.8%	12.6 MB	878.1 MB	13.4 GB	158.4 KB
116	9b/e6c918	3457851	SAMTOOLS_FLAGSTAT (L18_FLAGSTAT)	CACHED	0	2025-11-04 15:03:17.923	2m 35s	2m 35s	120.2%	10.6 MB	811.7 MB	12.8 GB	790 B
115	04/149b71	3555325	BAM_COVERAGE (S32_bam_coverage)	CACHED	0	2025-11-04 15:14:36.270	58.2s	58s	197.1%	7 GB	7.8 GB	7.3 GB	35.1 MB
125	70/68f1f2	3586181	SAMTOOLS_STATS (S19_samtools_stats)	CACHED	0	2025-11-04 15:18:59.645	4m 48s	4m 48s	163.9%	13.1 MB	814.1 MB	12.3 GB	158.2 KB
93	59/a9c1b7	3294583	BCFTOOLS_CALL_BY_CHR (S36_Lsat_v11_chr1_Bcftools_call)	CACHED	0	2025-11-04 14:40:42.583	9m 10s	9m 10s	129.0%	331.7 MB	28.4 GB	27.5 GB	26.4 GB
120	63/b6f1d1	3311674	SAMBAMBA_MARKDUPLICATES (R15_MARKDUPLICATES)	CACHED	0	2025-11-04 14:43:22.953	14m 46s	14m 46s	547.5%	2.5 GB	7.6 GB	41.6 GB	15.4 GB
98	21/95a22d	3683260	BCFTOOLS_CALL_BY_CHR (S36_Lsat_v11_chr6_Bcftools_call)	CACHED	0	2025-11-04 15:32:51.923	7m 30s	7m 30s	147.1%	286.5 MB	28.4 GB	26.2 GB	25.2 GB
108	8d/17fee7	3586919	QUALIMAP_QC (L18_QUALIMAP_QC)	CACHED	0	2025-11-04 15:19:03.867	8m 53s	8m 52s	521.8%	4.7 GB	29.3 GB	13.2 GB	1.1 MB
104	7e/b58bc3	3552132	QUALIMAP_QC (C32_QUALIMAP_QC)	CACHED	0	2025-11-04 15:14:17.673	9m 34s	9m 32s	526.6%	4.3 GB	29.3 GB	14 GB	1.1 MB
89	b1/1d3251	3524239	QUALIMAP_QC (S36_QUALIMAP_QC)	CACHED	0	2025-11-04 15:10:40.313	8m 24s	8m 22s	533.6%	4.4 GB	29.3 GB	12.6 GB	1.2 MB
122	92/62c529	3556573	SAMTOOLS_STATS (S32_samtools_stats)	CACHED	0	2025-11-04 15:14:45.339	4m 18s	4m 18s	165.3%	13 MB	877.1 MB	11.5 GB	157.1 KB
121	54/d655ee	3450673	SAMBAMBA_MARKDUPLICATES (X18_MARKDUPLICATES)	CACHED	0	2025-11-04 15:02:35.762	10m 27s	10m 27s	746.7%	2.1 GB	7.4 GB	39.2 GB	14.4 GB
127	c1/71f89d	3606689	QUALIMAP_QC (R36_QUALIMAP_QC)	CACHED	0	2025-11-04 15:21:54.696	10m 22s	10m 20s	526.5%	4.4 GB	29.3 GB	13.8 GB	1.2 MB
118	a8/c8cc1f	3540557	QUALIMAP_QC (B6_QUALIMAP_QC)	CACHED	0	2025-11-04 15:13:02.948	8m 52s	8m 50s	511.4%	4.5 GB	29.3 GB	13.9 GB	1.1 MB
92	00/a1cbd8	449773	BCFTOOLS_CALL_BY_CHR (S36_Lsat_v11_chr0_Bcftools_call)	CACHED	0	2025-11-04 16:32:09.852	26.2s	26s	145.3%	91 MB	28.1 GB	661.8 MB	531.7 MB
119	ee/6e5b16	4048252	BCFTOOLS_CALL_BY_CHR (C32_Lsat_v11_chr0_Bcftools_call)	CACHED	0	2025-11-04 16:18:30.341	22.9s	21.8s	139.3%	92.8 MB	28.2 GB	584.1 MB	513.1 MB
132	bb/c6ccec	3472431	QUALIMAP_QC (R1_QUALIMAP_QC)	CACHED	0	2025-11-04 15:04:45.512	9m 32s	9m 2s	483.8%	4.3 GB	28.4 GB	11.4 GB	1.2 MB
162	45/e87a20	3550174	SAMTOOLS_FLAGSTAT (S32_FLAGSTAT)	CACHED	0	2025-11-04 15:14:03.928	41.4s	41.2s	320.8%	10.9 MB	811.7 MB	11.5 GB	787 B
142	30/9a9c62	4046446	BCFTOOLS_CALL_BY_CHR (C32_Lsat_v11_chr6_Bcftools_call)	CACHED	0	2025-11-04 16:18:30.009	11m 40s	11m 39s	128.7%	287.2 MB	28.4 GB	27.3 GB	26.3 GB
194	18/a7f496	3603430	SAMTOOLS_STATS (X18_samtools_stats)	CACHED	0	2025-11-04 15:21:24.888	5m 3s	5m 3s	162.3%	12.9 MB	877.3 MB	12.4 GB	157.6 KB
168	ce/2490fa	3484455	SAMTOOLS_FLAGSTAT (R36_FLAGSTAT)	CACHED	0	2025-11-04 15:05:53.170	1m 39s	1m 39s	199.8%	10.9 MB	873 MB	13.4 GB	792 B
161	7b/509a71	4050161	BCFTOOLS_CALL_BY_CHR (L12_Lsat_v11_chr3_Bcftools_call)	CACHED	0	2025-11-04 16:18:30.786	19m 3s	19m 2s	128.0%	400.3 MB	28.5 GB	41.7 GB	40.1 GB
171	8b/802515	3290036	SAMTOOLS_FLAGSTAT (R1_FLAGSTAT)	CACHED	0	2025-11-04 14:39:55.581	24.9s	24.7s	457.6%	10.8 MB	811.7 MB	11 GB	787 B
139	fa/2e9256	4049087	BCFTOOLS_CALL_BY_CHR (C32_Lsat_v11_chr4_Bcftools_call)	CACHED	0	2025-11-04 16:18:30.526	24m 23s	24m 22s	126.9%	482.6 MB	28.6 GB	54.2 GB	52.1 GB
130	6a/1c512a	3370695	BAM_COVERAGE (B6_bam_coverage)	CACHED	0	2025-11-04 14:51:59.151	4m 17s	4m 17s	80.4%	5.6 GB	6.4 GB	9.9 GB	35.3 MB
153	1a/acedc4	3683266	BCFTOOLS_CALL_BY_CHR (L18_Lsat_v11_chr5_Bcftools_call)	CACHED	0	2025-11-04 15:32:51.928	12m 49s	12m 48s	151.0%	443.5 MB	28.5 GB	47.9 GB	46.1 GB
